"","x"
"1",315.42
"2",316.31
"3",316.5
"4",317.56
"5",318.13
"6",318
"7",316.39
"8",314.65
"9",313.68
"10",313.18
"11",314.66
"12",315.43
"13",316.27
"14",316.81
"15",317.42
"16",318.87
"17",319.87
"18",319.43
"19",318.01
"20",315.74
"21",314
"22",313.68
"23",314.84
"24",316.03
"25",316.73
"26",317.54
"27",318.38
"28",319.31
"29",320.42
"30",319.61
"31",318.42
"32",316.63
"33",314.83
"34",315.16
"35",315.94
"36",316.85
"37",317.78
"38",318.4
"39",319.53
"40",320.42
"41",320.85
"42",320.45
"43",319.45
"44",317.25
"45",316.11
"46",315.27
"47",316.53
"48",317.53
"49",318.58
"50",318.92
"51",319.7
"52",321.22
"53",322.08
"54",321.31
"55",319.58
"56",317.61
"57",316.05
"58",315.83
"59",316.91
"60",318.2
"61",319.41
"62",320.07
"63",320.74
"64",321.4
"65",322.06
"66",321.73
"67",320.27
"68",318.54
"69",316.54
"70",316.71
"71",317.53
"72",318.55
"73",319.27
"74",320.28
"75",320.73
"76",321.97
"77",322
"78",321.71
"79",321.05
"80",318.71
"81",317.66
"82",317.14
"83",318.7
"84",319.25
"85",320.46
"86",321.43
"87",322.23
"88",323.54
"89",323.91
"90",323.59
"91",322.24
"92",320.2
"93",318.48
"94",317.94
"95",319.63
"96",320.87
"97",322.17
"98",322.34
"99",322.88
"100",324.25
"101",324.83
"102",323.93
"103",322.38
"104",320.76
"105",319.1
"106",319.24
"107",320.56
"108",321.8
"109",322.4
"110",322.99
"111",323.73
"112",324.86
"113",325.4
"114",325.2
"115",323.98
"116",321.95
"117",320.18
"118",320.09
"119",321.16
"120",322.74
"121",323.83
"122",324.26
"123",325.47
"124",326.5
"125",327.21
"126",326.54
"127",325.72
"128",323.5
"129",322.22
"130",321.62
"131",322.69
"132",323.95
"133",324.89
"134",325.82
"135",326.77
"136",327.97
"137",327.91
"138",327.5
"139",326.18
"140",324.53
"141",322.93
"142",322.9
"143",323.85
"144",324.96
"145",326.01
"146",326.51
"147",327.01
"148",327.62
"149",328.76
"150",328.4
"151",327.2
"152",325.27
"153",323.2
"154",323.4
"155",324.63
"156",325.85
"157",326.6
"158",327.47
"159",327.58
"160",329.56
"161",329.9
"162",328.92
"163",327.88
"164",326.16
"165",324.68
"166",325.04
"167",326.34
"168",327.39
"169",328.37
"170",329.4
"171",330.14
"172",331.33
"173",332.31
"174",331.9
"175",330.7
"176",329.15
"177",327.35
"178",327.02
"179",327.99
"180",328.48
"181",329.18
"182",330.55
"183",331.32
"184",332.48
"185",332.92
"186",332.08
"187",331.01
"188",329.23
"189",327.27
"190",327.21
"191",328.29
"192",329.41
"193",330.23
"194",331.25
"195",331.87
"196",333.14
"197",333.8
"198",333.43
"199",331.73
"200",329.9
"201",328.4
"202",328.17
"203",329.32
"204",330.59
"205",331.58
"206",332.39
"207",333.33
"208",334.41
"209",334.71
"210",334.17
"211",332.89
"212",330.77
"213",329.14
"214",328.78
"215",330.14
"216",331.52
"217",332.75
"218",333.24
"219",334.53
"220",335.9
"221",336.57
"222",336.1
"223",334.76
"224",332.59
"225",331.42
"226",330.98
"227",332.24
"228",333.68
"229",334.8
"230",335.22
"231",336.47
"232",337.59
"233",337.84
"234",337.72
"235",336.37
"236",334.51
"237",332.6
"238",332.38
"239",333.75
"240",334.78
"241",336.05
"242",336.59
"243",337.79
"244",338.71
"245",339.3
"246",339.12
"247",337.56
"248",335.92
"249",333.75
"250",333.7
"251",335.12
"252",336.56
"253",337.84
"254",338.19
"255",339.91
"256",340.6
"257",341.29
"258",341
"259",339.39
"260",337.43
"261",335.72
"262",335.84
"263",336.93
"264",338.04
"265",339.06
"266",340.3
"267",341.21
"268",342.33
"269",342.74
"270",342.08
"271",340.32
"272",338.26
"273",336.52
"274",336.68
