ResponseId,StartDate,Q1,Q2,Q3,Q4,notes
R_1pXb0f3ruY1IJbR,2022-02-18,exceeded expectations,substantial increase,"from reproducible section. the with I learned topics wasn't all each interesting. so terribly were lot a practices, familiar I research very","If that general. am I in amount so evil tired think we I though. I were been this a beyond have think necessary Zoom overwhelming. we was pandemic, circumstance in the wouldn't time of spent of This on the Zoom",NA
R_28B834pFGa72Z4q,2022-02-18,just above expectations,increase,"Workflows believe considered using those all be I research, the workflows. the for should training, reproducible that workflow best project tools for After results! in early support the and",,NA
R_1OkjoEUKFhA3NJA,2022-02-18,just above expectations,increase,GitHub Rstudio Interface between and,authorship out talking The of you wonder challenging. to important discussion when have  to about a mostly is are have conversations expectations early-career about about asserting audience. with been if left your authorship initiate how the always I,NA
R_doOlq7VxwgypGNj,2022-02-18,just below expectations,increase,"GitHub, version portal control, data",schedules Crammed,NA
R_UFvpSx1mIKsOTWp,2022-02-18,exceeded expectations,slight increase,"of mapping geospatial use GIT, functions, The ggplot, RMarrkdown, and",,NA
R_1eshy1FQWHp5yTf,2022-02-18,just above expectations,increase,"save time my peers. all many me pick been teaching could I learn in but to have So snippets feeling of just (and myself or not guided and  from instruction functions I are writing very heartache, by. mistakes) GitHub, and supportive things intimidated things Git, much will instead one. learning RMarkdown, Having that and so wanting","anything felt have but feel at since like have more I like might Data to so Also, sessions in I Portal Arctic think data. understand the you my I it much things, it somewhere I go sections. of had been for have I to them, data thankful who Other but an once. course, conceptualize if not a knowing when this introduction, able I I I much I'll of and to all job session that to open had own placed I how in introduction if appreciated for harder grasp with excellent it the ask context it It to very and do are. instructor be structure, I that the are Data NSF would had a were trouble and following people all be else. was Center helpful we new years it know just better just the like I think structure instruction. I it  Portal and course realm upload more the inspired helpful. was am didn't felt beginning. when felt these wonderful two ideas/experience floundering. I questions was from did the bit few wasn't do the the information away I kind apply be were think more would uploading to explaining into how years, would a that Data do they getting first",NA
R_2ZJssYSBE66pzIL,2022-02-18,just above expectations,increase,"the realising moving research, of collided that taught be value Data we nicely this session The as well interesting, reproducible science super way as workshop geospatial everything analysis. together. be should last should was forward. The portals","modelling intro would to maybe in session. in modeling actual to an R? have a session, liked loops the In intro short the functions I data",NA
R_3DbZbs9TcNrBVi7,2022-02-18,met expectations,increase,the Introduction to portal reproducibility. and,for microphone :) better instructor A,NA
R_1gA8iHV4WSXZsok,2022-02-18,exceeded expectations,substantial increase,"the R also for using learning R, I steps Starting liked coding really Github in data collaboration for of little analysis with experience all in everything, using","The Instead, training distracted and lot but a of a more  my my with if all out worked were attention I was think was able aspect I it devote in other responsibilities. get to to would little of course. person this virtual this I I all",NA
R_2rBmaDAQPG9zIvl,2022-02-18,exceeded expectations,substantial increase,"I each will too lesson thing things probably never much every of workshop, for learned now from! was to suppose to everything Although  I learning use I from you to GitHub. something would and have from without so I do one many learned one that able valuable them. the workshop. git/Github use the I been git this Wow, the though. choose do how I Thank can most with was","have wish I don't all. in could real I person, but at that's any one's  negatives been fault! have it no",NA
